날짜,시가,고가,저가,종가,거래량
2017-06-01,134500,135000,130500,131500,126848
2017-06-02,132000,135500,131500,135500,127561
2017-06-05,135500,139000,134000,135000,163086
2017-06-07,135500,141000,134000,141000,224086
2017-06-08,140000,152000,140000,151500,559166
2017-06-09,152500,159000,152000,155500,295970
2017-06-12,151000,151000,145000,147000,400911
2017-06-13,146000,154000,144500,150500,288778
2017-06-14,155000,159000,152500,154000,330246
2017-06-15,154000,161500,154000,157500,356160
2017-06-16,157500,162500,156000,157000,327854
2017-06-19,158000,163500,155000,163500,208984
2017-06-20,165000,165500,160500,161500,243381
2017-06-21,160500,164500,156500,164500,134599
2017-06-22,164500,165000,160000,161500,143603
2017-06-23,159000,162500,155500,162500,142281
2017-06-26,163500,176500,163000,175000,356493
2017-06-27,176500,177500,170500,172500,240959
2017-06-28,170500,172000,160000,161500,459122
2017-06-29,164500,165500,160000,161500,183273
2017-06-30,157500,165500,154500,165000,253514
2017-07-03,164000,164500,155500,159500,226468
2017-07-04,158500,162500,157000,157500,136616
2017-07-05,158500,163500,157500,161000,161561
2017-07-06,163500,164500,158500,159500,143851
2017-07-07,156500,160500,155500,156000,126599
2017-07-10,158000,158500,151000,157000,155554
2017-07-11,158500,160000,154000,159500,112999
2017-07-12,160000,161000,152000,153000,189951
2017-07-13,156000,163500,154000,157500,249549
2017-07-14,157500,158500,152000,153000,187435
2017-07-17,153500,159000,153500,158000,137975
2017-07-18,159000,161500,156000,160500,126490
2017-07-19,161000,164500,157000,159000,165005
2017-07-20,159500,160500,155500,158000,83950
2017-07-21,157000,162000,157000,161000,85538
2017-07-24,161000,168500,160000,167000,199829
2017-07-25,168000,169000,162000,162000,142646
2017-07-26,164000,164000,153500,157500,220657
2017-07-27,156500,166500,156000,161500,269232
2017-07-28,157500,159000,149000,150500,362399
2017-07-31,148000,152000,147000,150000,148782
2017-08-01,150000,151500,145500,149500,260794
2017-08-02,163000,165500,157000,165000,520279
2017-08-03,163500,166500,161000,162500,191514
2017-08-04,163000,165000,160000,162000,139209
2017-08-07,161000,164500,160000,160500,111340
2017-08-08,161500,164000,160500,162500,173374
2017-08-09,160000,162500,157500,159000,157114
2017-08-10,157000,164000,156500,164000,225604
2017-08-11,158500,164000,157500,161500,177345
2017-08-14,165500,166000,162000,165000,121652
2017-08-16,167000,171000,166500,168000,164781
2017-08-17,166500,169000,164500,167500,81188
2017-08-18,163000,170000,163000,170000,105161
2017-08-21,170000,174000,167000,167500,109336
2017-08-22,169500,173000,167500,172500,100307
2017-08-23,175500,180000,175000,177000,240942
2017-08-24,178500,181000,176000,177500,115229
2017-08-25,177500,179000,175500,177000,69890
2017-08-28,176000,178500,172000,172000,132620
2017-08-29,172000,179000,170000,179000,191035
2017-08-30,180500,184000,179000,184000,164708
2017-08-31,187000,188000,182000,184500,179459
2017-09-01,185000,185000,175000,178000,390118
2017-09-04,172000,180500,171500,178500,228956
2017-09-05,178500,180000,174500,176500,128390
2017-09-06,175500,178500,173000,174500,141759
2017-09-07,177000,177500,172500,173500,196709
2017-09-08,172500,176500,167500,169500,353820
2017-09-11,170500,174500,168500,171500,280892
2017-09-12,174500,176000,170000,171500,271669
2017-09-13,170000,171000,165500,168500,532881
2017-09-14,168500,176500,168500,173000,410290
2017-09-15,172000,172000,167500,169000,374587
2017-09-18,171000,173500,168500,172000,306070
2017-09-19,172500,173000,168000,169500,207770
2017-09-20,169500,171500,162000,163500,415116
2017-09-21,162500,162500,154500,155500,525518
2017-09-22,154000,155500,148000,149000,546461
2017-09-25,148000,152500,145500,150500,517988
