날짜,시가,고가,저가,종가,거래량
2017-06-01,301000,305500,301000,303000,196318
2017-06-02,303500,304000,294000,294000,424935
2017-06-05,292000,294000,289000,291500,292409
2017-06-07,294000,294500,289000,290500,291299
2017-06-08,290000,292500,286000,289500,390922
2017-06-09,291000,297000,290000,292500,371924
2017-06-12,293500,296500,288500,289500,191591
2017-06-13,293500,297000,291000,292500,269402
2017-06-14,289500,290000,280000,281000,669742
2017-06-15,280000,280000,274500,276500,361523
2017-06-16,276500,283000,276500,278000,289532
2017-06-19,277500,279500,275500,279000,157850
2017-06-20,279500,280000,275000,275500,165525
2017-06-21,273500,281500,270000,280000,281125
2017-06-22,280500,287000,278500,287000,331461
2017-06-23,287500,288000,281500,283500,222360
2017-06-26,284000,285000,282500,282500,135404
2017-06-27,284000,287000,282500,283000,225758
2017-06-28,284000,285000,279500,280500,148004
2017-06-29,282500,283500,280000,282000,219741
2017-06-30,281000,291500,280500,291000,330131
2017-07-03,294000,297500,293000,296500,356166
2017-07-04,297500,298000,288500,290000,195257
2017-07-05,290000,293000,286000,291000,176809
2017-07-06,292000,293500,288500,290000,113140
2017-07-07,288500,293000,287000,289000,151570
2017-07-10,288500,292000,285500,291500,146503
2017-07-11,291000,299000,291000,299000,304052
2017-07-12,298000,300000,295000,299500,250718
2017-07-13,304000,315000,304000,314000,896560
2017-07-14,316500,321000,316000,318500,399294
2017-07-17,322000,322500,317500,319500,282589
2017-07-18,319500,327000,316000,326500,313590
2017-07-19,326500,326500,317000,318500,300700
2017-07-20,330000,330500,322000,326000,420954
2017-07-21,330000,338000,326500,329000,396713
2017-07-24,332500,336500,330500,335000,345871
2017-07-25,333000,334000,328000,329000,264797
2017-07-26,333500,334000,322500,326500,246771
2017-07-27,328500,331000,324500,331000,149286
2017-07-28,332000,333000,320000,323000,224660
2017-07-31,320000,329500,319500,328000,212502
2017-08-01,328500,335000,328000,333000,228563
2017-08-02,333500,334000,327000,333500,245624
2017-08-03,333500,333500,325000,329000,223188
2017-08-04,329000,343000,329000,342500,509506
2017-08-07,344500,349500,342500,344000,241835
2017-08-08,345500,345500,335500,340000,251640
2017-08-09,335000,338000,331500,332500,272997
2017-08-10,332000,338500,331000,337500,261606
2017-08-11,330000,341500,329500,339500,319347
2017-08-14,343000,345000,339500,343500,148005
2017-08-16,348000,352000,343000,345500,258739
2017-08-17,345000,347500,342000,343500,181488
2017-08-18,339500,349500,339500,349000,163964
2017-08-21,352000,352000,347500,349000,181004
2017-08-22,350000,364000,350000,363000,317416
2017-08-23,365000,366500,362000,366000,256240
2017-08-24,366000,378000,365500,375000,343287
2017-08-25,375000,375000,367000,368500,240518
2017-08-28,368000,372000,365500,369500,144557
2017-08-29,367000,368500,362500,368500,191646
2017-08-30,371500,383000,371000,380000,342483
2017-08-31,382500,383000,372000,379000,228146
2017-09-01,378000,379000,372000,373000,183132
2017-09-04,365000,374500,364500,370000,232497
2017-09-05,372000,373000,363500,366000,237215
2017-09-06,365000,372000,364500,372000,179775
2017-09-07,373000,375000,369500,370000,129141
2017-09-08,370500,372500,366500,372500,116853
2017-09-11,375500,392000,374500,392000,337307
2017-09-12,394500,397000,388500,390000,281130
2017-09-13,392000,411000,390500,407500,448119
2017-09-14,406500,408500,399500,407000,429395
2017-09-15,404000,405000,398000,401000,304611
2017-09-18,403000,404500,393000,395000,368552
2017-09-19,397500,400000,393500,397000,201017
2017-09-20,397500,398500,387000,388500,323891
2017-09-21,390000,394000,385500,389000,250454
2017-09-22,388000,388500,365500,369000,568634
2017-09-25,366000,380000,362500,379500,274941
2017-09-26,379500,382000,372500,375500,211177
2017-09-27,373500,381000,372500,378000,162016
2017-09-28,375000,387000,369500,386000,258624
2017-09-29,384500,396000,383500,392000,278506
2017-10-10,396500,398500,387000,393000,406615
2017-10-11,397000,401000,380500,385000,432585
2017-10-12,382500,387000,376500,379000,381170
2017-10-13,376000,381000,372500,375000,326570
2017-10-16,377000,381000,368000,370000,341678
2017-10-17,373000,374000,367500,373000,266741
2017-10-18,376500,385000,376000,384000,357530
2017-10-19,387500,391000,384000,385000,306726
2017-10-20,388500,390000,381000,384000,206656
2017-10-23,385500,397000,385000,395500,293065
2017-10-24,395000,395500,387500,388500,212289
2017-10-25,390500,392000,385000,386500,129780
2017-10-26,388500,397000,386500,394500,327261
2017-10-27,400000,407000,398000,405500,536199
2017-10-30,406000,409000,399500,405500,386527
2017-10-31,405000,408000,399500,403500,279672
2017-11-01,407000,419000,405500,414500,336389
2017-11-02,417500,425000,412500,420000,329073
2017-11-03,419500,419500,405000,414000,387441
2017-11-06,410000,416000,407000,409000,270093
2017-11-07,408500,413500,403500,409000,245940
2017-11-08,406000,412000,403500,409000,206990
2017-11-09,415000,415000,410000,414000,194087
2017-11-10,411500,412000,405000,406500,167505
2017-11-13,403500,406500,390000,394500,494297
2017-11-14,394500,396000,388500,392500,365212
2017-11-15,391000,397000,388500,397000,292227
2017-11-16,397000,406000,392500,405500,248330
2017-11-17,408000,414500,405500,408500,285105
2017-11-20,409000,412500,408000,409500,231641
2017-11-21,409500,413000,408000,413000,205930
