날짜,시가,고가,저가,종가,거래량
2017-06-01,12900,12900,12750,12850,1225191
2017-06-02,12900,13200,12850,13150,2749582
2017-06-05,13100,13250,13100,13200,2025450
2017-06-07,13150,13500,13050,13450,3301356
2017-06-08,13450,13500,13200,13200,2669894
2017-06-09,13300,13600,13250,13600,2675603
2017-06-12,13700,13800,13650,13750,3880890
2017-06-13,13800,13900,13600,13900,1890575
2017-06-14,13850,14000,13850,13900,1270768
2017-06-15,13900,13950,13600,13650,1353609
2017-06-16,13650,13850,13600,13850,1692878
2017-06-19,13950,13950,13600,13650,1446808
2017-06-20,13650,13800,13600,13700,1188770
2017-06-21,13650,13700,13350,13650,1747588
2017-06-22,13600,13750,13500,13750,1439595
2017-06-23,13750,13850,13650,13750,1156579
2017-06-26,13750,13800,13650,13700,777841
2017-06-27,13700,13750,13650,13650,955153
2017-06-28,13700,14050,13700,14000,2242130
2017-06-29,14100,14500,14050,14250,2405122
2017-06-30,14250,14400,14150,14250,1129124
2017-07-03,14350,14450,14250,14250,1190841
2017-07-04,14350,14650,14350,14450,2218330
2017-07-05,14550,14550,14300,14400,1208335
2017-07-06,14300,14400,14150,14250,1276312
2017-07-07,14100,14300,14100,14150,1036012
2017-07-10,14300,14800,14250,14750,2138936
2017-07-11,14900,14900,14600,14600,1310314
2017-07-12,14700,14750,14500,14600,1137522
2017-07-13,14700,14700,14300,14500,1666813
2017-07-14,14600,14700,14450,14700,1021108
2017-07-17,14750,14750,14500,14700,1190820
2017-07-18,14700,14700,14450,14500,1413514
2017-07-19,14500,14550,14250,14450,1912543
2017-07-20,14500,14950,14500,14950,2537667
2017-07-21,14900,15300,14850,15250,2339288
2017-07-24,15300,15350,15100,15150,1336573
2017-07-25,15150,15300,15100,15200,1029091
2017-07-26,15250,15700,15250,15650,2122685
2017-07-27,15600,15700,15300,15700,2053239
2017-07-28,15450,15550,15250,15350,1391145
2017-07-31,15200,15450,15150,15450,1027429
2017-08-01,15450,15600,15300,15600,1198028
2017-08-02,15650,15850,15500,15750,1812596
2017-08-03,15700,15700,15250,15500,1489121
2017-08-04,15450,15600,15400,15500,1029875
2017-08-07,15600,15800,15550,15750,814419
2017-08-08,15700,15850,15600,15750,1157951
2017-08-09,15650,15700,15250,15350,1328254
2017-08-10,15300,15400,15050,15200,1523728
2017-08-11,14950,15050,14800,15050,1533725
2017-08-14,14950,15250,14950,15200,688904
2017-08-16,15250,15350,15100,15200,958144
2017-08-17,15150,15200,14950,15050,860122
2017-08-18,14900,15200,14900,15150,748908
2017-08-21,15150,15200,14950,15000,533163
2017-08-22,15050,15200,15050,15150,963224
2017-08-23,15250,15250,15050,15150,612553
2017-08-24,15100,15350,15050,15150,1109931
2017-08-25,15250,15550,15250,15550,1086491
2017-08-28,15500,15600,15400,15600,878749
2017-08-29,15450,15550,15150,15300,1019870
2017-08-30,15400,15500,15250,15350,876567
2017-08-31,15350,15400,14850,14950,1402703
2017-09-01,14950,15000,14800,14950,1087791
2017-09-04,14450,14750,14450,14650,907999
2017-09-05,14650,14700,13850,13950,2874363
2017-09-06,13900,14000,13450,14000,2255651
2017-09-07,14000,14350,13950,14300,1779103
2017-09-08,14350,14350,14050,14300,857928
2017-09-11,14300,14500,14300,14350,998825
2017-09-12,14450,14500,14300,14400,725969
2017-09-13,14400,14450,13950,14350,1253194
2017-09-14,14400,14550,14250,14450,1051852
2017-09-15,14500,14750,14350,14750,1247346
2017-09-18,14700,14950,14650,14850,951434
2017-09-19,14800,14900,14600,14750,911543
2017-09-20,14850,14850,14550,14650,852810
2017-09-21,14650,14750,14400,14650,1110726
2017-09-22,14700,15000,14650,14950,1357745
2017-09-25,14900,14950,14300,14450,1561056
2017-09-26,14450,14450,13900,14200,1659396
2017-09-27,14200,14250,13950,14000,1009363
2017-09-28,14000,14400,13950,14350,1010498
2017-09-29,14400,14450,14300,14400,714651
2017-10-10,14700,14800,14500,14750,1656144
2017-10-11,14750,14900,14500,14600,1231452
2017-10-12,14550,14850,14550,14650,1147169
2017-10-13,14600,14800,14450,14600,1388488
2017-10-16,14650,14650,14400,14550,1290933
2017-10-17,14650,14700,14500,14600,840034
2017-10-18,14600,14600,14400,14450,781624
2017-10-19,14550,14600,14200,14400,1535883
2017-10-20,14450,14550,14250,14550,1100501
2017-10-23,14600,14600,14250,14300,922865
2017-10-24,14350,14700,14200,14650,1581964
2017-10-25,14700,15000,14500,15000,1595443
2017-10-26,15200,15300,14900,15100,1831990
