날짜,시가,고가,저가,종가,거래량
2017-06-01,43200,44200,43100,44000,3892744
2017-06-02,44300,44450,43300,43450,2558748
2017-06-05,42700,43400,42700,43000,1224660
2017-06-07,42800,43650,42800,43000,1661001
2017-06-08,43700,43700,42850,43600,1837743
2017-06-09,43600,43700,43200,43650,1668967
2017-06-12,43500,44100,43450,44000,1761176
2017-06-13,44000,44000,43550,43650,971880
2017-06-14,43400,43450,42700,42850,2392986
2017-06-15,42750,43400,42750,43200,1113641
2017-06-16,43300,43400,42950,43400,1019665
2017-06-19,43150,43300,41950,42050,2089982
2017-06-20,41800,41950,41200,41200,2283038
2017-06-21,41450,41950,41450,41750,1353553
2017-06-22,42000,42200,41800,42100,837904
2017-06-23,42200,42400,41850,42350,1024976
2017-06-26,42350,42450,42100,42150,435998
2017-06-27,41500,41700,41300,41550,1458922
2017-06-28,40850,40900,40350,40800,1871286
2017-06-29,40900,41000,40700,40850,905372
2017-06-30,40600,41150,40600,40800,874872
2017-07-03,40700,40950,40500,40700,940081
2017-07-04,40800,41700,40800,41300,1396797
2017-07-05,41200,42200,41150,42000,1627970
2017-07-06,42000,42350,42000,42100,1103127
2017-07-07,42100,42500,42000,42500,1290722
2017-07-10,42650,42800,41600,41800,1148127
2017-07-11,42200,42600,42000,42500,1216486
2017-07-12,42500,42700,41900,42050,765084
2017-07-13,42350,42500,41700,41800,899060
2017-07-14,42100,42300,41350,41950,872859
2017-07-17,42150,42450,41750,42400,786109
2017-07-18,42500,42750,42350,42650,820866
2017-07-19,42800,42950,42450,42850,742006
2017-07-20,43400,44250,43150,44250,2801503
2017-07-21,45100,45500,44850,45500,3519253
2017-07-24,45600,45600,44500,45450,1858274
2017-07-25,45500,45500,44600,45350,1751578
2017-07-26,45350,45500,44950,45150,1116469
2017-07-27,45300,45700,45050,45200,1034423
2017-07-28,45000,45300,44250,44950,1564648
2017-07-31,44550,45050,44100,44550,1538985
2017-08-01,44400,45100,44400,44900,966639
2017-08-02,44700,44750,44150,44200,1060088
2017-08-03,44050,44200,43500,44200,1117000
2017-08-04,44050,44500,44000,44450,742616
2017-08-07,44550,44650,43900,44050,833653
2017-08-08,43250,44750,42900,44550,1897136
2017-08-09,44600,44650,43950,44150,782834
2017-08-10,43800,44450,43600,44450,1115808
2017-08-11,43700,44100,43550,43850,825664
2017-08-14,43850,43900,43300,43500,651274
2017-08-16,43650,44450,43600,43950,759243
2017-08-17,43700,44450,43600,44300,1074702
2017-08-18,44250,45000,44100,44850,1464955
2017-08-21,44900,44950,44050,44200,486898
