날짜,시가,고가,저가,종가,거래량
2017-06-01,159500,159500,157500,158500,82579
2017-06-02,159000,159500,156500,157500,80720
2017-06-05,157500,157500,153500,155000,118218
2017-06-07,154000,157000,154000,156500,85605
2017-06-08,157500,157500,154000,156500,87604
2017-06-09,155500,156500,152500,153000,163229
2017-06-12,153000,154500,151500,153500,70942
2017-06-13,153500,156000,153000,156000,57460
2017-06-14,155500,158500,155000,158000,122250
2017-06-15,159000,159500,154000,155000,89852
2017-06-16,155000,157000,154500,157000,83797
2017-06-19,156000,156000,150500,151500,186678
2017-06-20,151000,153000,150000,152000,110275
2017-06-21,152000,154500,151500,153500,119980
2017-06-22,152000,153000,149500,151000,95788
2017-06-23,151000,153000,149500,151000,76264
2017-06-26,149500,150500,148000,150000,58960
2017-06-27,150000,151000,148500,148500,65925
2017-06-28,149000,154000,148500,154000,141189
2017-06-29,155000,157500,154000,156000,121820
2017-06-30,156000,157000,154500,157000,64001
2017-07-03,156000,158000,155000,158000,78048
2017-07-04,159000,160000,155000,157000,82726
2017-07-05,155500,156000,153000,155000,101920
2017-07-06,153500,155000,151500,154000,60904
2017-07-07,153500,155000,152000,153000,58314
2017-07-10,154000,155000,151000,151000,82858
2017-07-11,151000,152500,150500,151000,45472
2017-07-12,151500,154000,150500,151000,51975
2017-07-13,152500,157500,151500,156500,123780
2017-07-14,157000,158500,154500,158000,108041
2017-07-17,158500,159500,155500,156500,75714
2017-07-18,156000,156500,150500,151500,139921
2017-07-19,151000,154500,151000,153500,82128
2017-07-20,154000,154500,151000,153000,96428
2017-07-21,153000,153500,150500,151500,71876
2017-07-24,152000,153000,151000,153000,53771
2017-07-25,152500,155000,152000,153500,101889
2017-07-26,153500,155500,153000,155000,68673
2017-07-27,155500,157000,151500,156500,99730
2017-07-28,157000,163500,155000,162000,331187
2017-07-31,161000,161500,155500,157000,127351
2017-08-01,156000,159500,156000,157000,94151
2017-08-02,156000,158000,153500,154500,88768
2017-08-03,154500,156500,153000,153000,108535
2017-08-04,153500,164000,153500,162000,235249
2017-08-07,163000,166500,161500,163500,136149
2017-08-08,163500,163500,156500,157500,205575
2017-08-09,157000,164500,157000,164000,134047
2017-08-10,164000,168000,163000,168000,155928
2017-08-11,165000,168000,164000,166000,104894
2017-08-14,167500,168500,162000,163500,94381
2017-08-16,162500,163500,158000,160000,83432
2017-08-17,159000,162500,158000,161000,75907
2017-08-18,158500,160500,158500,159500,35438
2017-08-21,160000,161500,158000,161000,60495
2017-08-22,162000,166500,161500,163500,119437
2017-08-23,163500,164000,160000,161000,47290
2017-08-24,160500,161000,156500,158500,115307
2017-08-25,158000,160500,157000,159500,49563
2017-08-28,159500,161000,159500,161000,35256
2017-08-29,160000,161500,158500,161500,39511
2017-08-30,159500,160000,157000,157500,81803
2017-08-31,157000,158000,154500,155000,98595
2017-09-01,154500,155000,153000,153000,98182
2017-09-04,149500,154000,149000,152000,48965
2017-09-05,152000,154500,151500,153500,48915
2017-09-06,153500,154000,150000,152000,59916
2017-09-07,153500,153500,151000,152500,72798
2017-09-08,151500,152500,142500,146500,247407
2017-09-11,144000,147000,144000,145500,70714
2017-09-12,144500,147500,144000,145000,73411
2017-09-13,145000,145500,142000,142500,73049
2017-09-14,141500,143000,139000,141000,131470
2017-09-15,139500,144000,138500,143500,86161
2017-09-18,142000,143500,142000,143000,52046
